1,Citation,Date of Judgments,Length of marriage till IJ (include separation period),Length of marriage (exclude separation period),Number of children,Wife's income (monthly),Husband's income (monthly),Single or dual income marriage,Direct contri (Wife),Indirect contri (Wife),Average ratio (Wife),Final ratio (post-adjustments),Adjustments?,Adjustments were for,Remarks,,,New columns,Cost of Court
VSZ v VTA,[2021] SGFC 74,6/7/2021,28,N/A,2,$2200-$2300,N/A,Dual,11%,75%,43%,43%,N/A,N/A,Discussion on whether TNL or ANJ ought to apply: Court agreed that dual-income approach in ANJ ought to apply because the wife worked for 40% of the marriage and stayed home for 17 of 28 years of marriage,,,,
VST v VSU,[2021] SGFC 72,13/7/2021,14,N/A,2,$3700,$8300,Dual,31%,65%,48%,50%,2% uplift for wife,For husband's failure to give full and frank disclosure on the value of the shares,N/A,,,,
VTD v VTE,[2021] SGFC 77,16/7/2021,56,52,3,$0,Not clear - but H was no longer in a position to earn significant income and provide maintenance. See [6]: lawyer who does consultancy work,Dual,8%,80%,44%,50%,Uplift of 6% to wife,Taking into account that it was a 56-year marriage with 3 adult children,N/A,,,,
VSR v VSS,[2021] SGFC 76,19/7/2021,11,N/A,3,$14437.31,$3292,Dual,N/A,N/A,N/A,Parties to retain assets in sole name; indebted party to repay any outstanding loans,N/A,N/A,Significance of a pre-nuptial agreement,,,,
VPH v VPI,[2201] SGHCF 22,21/7/2021,11,9,0,$6613.50,"$2,356.83",Dual,20.38%,40%,30%,32.50%,2.5% in favour of wife,"Small adjustment to be made to take into account wife's rent-free occupation of the matrimonial home to the exclusion of the husband, and a further 5% in favour of the wife because of adverse inference drawn against husband for lack of full and frank disclosure",N/A,,,,
VTH v VTI,[2021] SGFC 19,26/7/2021,21,N/A,1,$5700,$8750,Dual,"50% (flat),
31% (others)",60% (both),"55% (flat),
45.5% (others)","58% (flat),
48.5% (others)",3% in favour of Wife,Uplift of 3% for wife because she is the care parent,N/A,,,,
TWM v TWN,[2021] SGHCF 25,27/7/2021,8.5,6.5,2,$2400,$7500 (gauged from spending),Dual ,23%,60%,41.50%,46.50%,5% in favour of wife,"Uplift for wife, because husband did not provide full and frank disclosure of income and assets. ",Appeal by Husband was dismissed,,,,
CLT v CLS and anor matter,[2021] SGHCF 29,13/8/2021,17,N/A,1,$13000,$233530 per year,Single,N/A,N/A,N/A,30%,N/A,N/A,"Court took into account the length of the marriage (17 years), exceptionally large pool of assets ($53,485,931) and taking into account their relative roles throughout the marriage.",,,,
VUF v VUG,[2021] SGFC 86,23/8/2021,6,N/A,2,N/A,"""way higher earning capacity""",Single,N/A,N/A,N/A,30%,N/A,N/A,Application of broad-brush approach: wife had been the primary caregiver in a short 6-year marriage,,,,
VUN v VUO,[2021] SGFC 90,31/8/2921,14,N/A,2,$200497 (yearly),$95000-$105000 (which court did not rely on solely to determine spending power: see [80]),"Undisclosed, but seems to be dual",61.93%,57.50%,59.7 15%,60%,Round up,Wife's figure rounded up in light of Husband's failure to disclose certain accounts,N/A,,,,
VVG v VVH,[2021] SGFC 96,13/9/2021,37.7,34,3,N/A,N/A,Dual,37.56%,50%,43.78%,53.78%,10% to Wife,Percentages were not weighted but 10% given to Wife because Husband did not disclose the value of his business,N/A,,,,
VTY v VTZ,[2021] SGFC 99,13/9/2021,12,NA,0,N/A,N/A,Dual,44%,55%,50%,50%,N/A,N/A,N/A,,,,
VVU v VVV,[2021] SGFC 100,15/9/2021,3,NA,1,$3838,$4024,Dual,"Matrimonial Home: 49%

Other assets: 30%","Matrimonial Home: 75%

Other assets: 22.5%","Matrimonial Home: 56.8%

Other assets: 43.5%","Matrimonial Home: 60%

Other assets: 47%",add 3.5% to Wife,Court increased the Wife’s share by 3.5% in view of the fact that she is the care parent. This will account for the child’s accommodation and related expenses that are not covered in the child’s maintenance.,N/A,,,,
VVY v VVZ,[2021] SGFC 101,22/9/2021,11,NA,2,$2000,$4000,Dual,24.80%,55%,39.90%,39.90%,NA,N/A,Wife's submissions for the husband's negative contribution for abuse etc. failed to reach t he high threshold and was dismissed,,,,
VWM v VWN,[2021] SGFC 107,15/10/2021,Less than 5 ,Less than 4,2,$1,$0,Dual,75.80%,55%,65.40%,65.40%,NA,N/A,"""In the present case, while the table above optically gives the impression that the plaintiff has done much more (and corresponding the defendant has done much less), I did not agree with the plaintiff’s submissions that the defendant has failed in putting his share of his familial weight given parties circumstances.""",,,,
VWO v VWP,[2021] SGFC 108,25/10/2021,27,NA,2,N/A,N/A,Dual,31%,60%,45.50%,49.50%,add 5% to wife,"There is evidence of significant casino winnings by the Husband, which could not be numerically ascertained from the evidence and was therefore not included in the matrimonial pool to be divided","Court directed that the matrimonial home be sold before parties come back for the Court's final orders on the division of assets, given the uncertainty as to the sale price of the home",,,,
VQX v VXR,[2021] SGHCF 38,11/11/2021,21,NA,1,N/A,N/A,Dual,60%,60%,60%,60%,NA,N/A,N/A,,,,
VYE v VYF,[2021] SGFC 123,30/11/2021,25,NA,2,N/A,N/A,Dual,44.20%,67%,55.60%,55.60%,NA,NA,N/A,,,,
VYJ v VYK,[2021] SGFC 125,7/12/2021,28,NA,2,N/A,N/A,NA,NA,NA,50% (agreed),55%,add 5% to wife,Adverse inference was drawn against the husband for failure to disclose overseas assets - Court awarded an uplift of 5% to the wife's share of the matrimonial assets to give effect to this adverse inference,N/A,,,,
VYL v VYM,[2021] SGHCF 39,8/12/2021,21,NA,2,$25000,$25000,Dual,60%,60%,60%,NA,NA,NA,N/A,,,,
VYN v VYO,[2021] SGFC 127,10/12/2021,16,NA,1,N/A,N/A,Dual,81%,60%,80.55%,NA,NA,NA,N/A,,,,
VYC v VYD,[2021] SGFC 126,15/12/2021,13,NA,2,N/A,N/A,Dual,21.50%,55%,38.25%,NA,NA,NA,N/A,,,,
